O*NET-SOC Code,Active Learning,Active Listening,Complex Problem Solving,Coordination,Critical Thinking,Equipment Maintenance,Equipment Selection,Installation,Instructing,Judgment and Decision Making,Learning Strategies,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Mathematics,Monitoring,Negotiation,Operation Monitoring,Operation and Control,Operations Analysis,Persuasion,Programming,Quality Control Analysis,Reading Comprehension,Repairing,Science,Service Orientation,Social Perceptiveness,Speaking,Systems Analysis,Systems Evaluation,Technology Design,Time Management,Troubleshooting,Writing,major,minor,broad,detailed
39-4011.00,3.12,3.5,2.88,3.12,3.38,1.62,1.5,0.0,2.88,3.0,2.62,1.0,1.25,2.75,1.5,3.25,2.5,2.0,2.25,1.88,2.38,0.0,2.12,3.12,1.5,2.5,3.38,4.12,3.5,2.12,2.12,0.75,3.12,1.5,3.0,Personal Care and Service Occupations,Funeral Service Workers,Embalmers,Embalmers
39-4021.00,1.5,3.0,2.0,3.0,2.75,1.25,0.62,0.0,1.25,2.62,1.38,1.12,1.38,1.25,1.25,2.88,1.25,1.25,1.62,0.75,1.88,0.12,1.25,2.62,0.38,0.5,3.0,3.25,3.0,1.12,1.0,0.5,2.5,1.12,2.38,Personal Care and Service Occupations,Funeral Service Workers,Funeral Attendants,Funeral Attendants
39-4031.00,3.25,3.88,3.25,4.0,3.75,0.0,0.25,0.0,3.12,3.38,3.12,3.0,2.75,3.75,2.75,3.75,3.5,2.75,2.62,2.75,3.75,0.62,2.62,3.75,0.0,1.88,4.12,4.5,4.25,3.0,3.25,1.0,3.62,1.25,3.75,Personal Care and Service Occupations,Funeral Service Workers,"Morticians, Undertakers, and Funeral Directors","Morticians, Undertakers, and Funeral Directors"
39-5011.00,2.5,2.88,2.62,2.5,2.88,1.12,1.12,0.0,0.62,2.38,1.75,1.38,1.38,1.75,0.5,2.88,1.88,2.0,1.62,2.12,2.12,0.0,1.75,2.25,0.75,0.5,2.88,2.5,2.62,0.62,0.62,0.12,2.75,1.25,2.12,Personal Care and Service Occupations,Personal Appearance Workers,"Barbers, Hairdressers, Hairstylists and Cosmetologists",Barbers
39-5012.00,2.75,3.12,2.5,2.38,3.5,0.38,1.25,0.0,3.12,2.38,3.0,0.5,0.88,2.0,2.0,2.75,2.12,1.62,0.62,2.0,2.75,0.0,1.62,2.62,0.0,1.25,3.25,2.88,2.88,1.88,2.25,0.75,2.25,1.25,2.62,Personal Care and Service Occupations,Personal Appearance Workers,"Barbers, Hairdressers, Hairstylists and Cosmetologists","Hairdressers, Hairstylists, and Cosmetologists"
39-5091.00,3.38,3.25,2.88,3.25,3.25,0.0,1.38,0.0,2.75,3.0,2.5,3.38,2.62,2.5,2.5,2.88,2.5,1.62,0.25,2.5,2.62,0.0,2.25,3.25,0.0,0.75,2.88,2.75,3.0,2.5,2.5,1.12,2.75,1.25,2.5,Personal Care and Service Occupations,Personal Appearance Workers,Miscellaneous Personal Appearance Workers,"Makeup Artists, Theatrical and Performance"
39-5092.00,2.25,2.75,2.12,2.38,2.62,0.0,0.62,0.0,1.88,2.25,2.12,1.38,1.12,2.0,1.75,2.38,2.12,1.5,0.5,1.0,2.0,0.0,1.75,2.25,0.0,0.12,2.5,2.75,2.5,1.62,1.75,0.75,2.38,1.38,2.12,Personal Care and Service Occupations,Personal Appearance Workers,Miscellaneous Personal Appearance Workers,Manicurists and Pedicurists
39-5093.00,2.0,2.62,1.88,2.62,2.12,0.0,0.38,0.0,2.0,2.12,1.75,0.5,0.38,1.62,1.12,2.38,1.62,1.62,0.38,0.25,1.62,0.0,0.62,2.25,0.0,0.0,2.75,2.62,2.5,0.75,0.75,0.38,2.25,0.62,2.0,Personal Care and Service Occupations,Personal Appearance Workers,Miscellaneous Personal Appearance Workers,Shampooers
39-5094.00,2.88,3.12,2.88,2.88,3.0,0.0,1.0,0.0,2.75,3.12,2.75,0.12,0.5,2.0,0.62,3.0,2.38,1.62,0.88,1.75,2.5,0.0,1.12,3.12,0.0,0.62,3.38,2.88,3.0,1.88,1.88,0.38,2.75,0.5,2.75,Personal Care and Service Occupations,Personal Appearance Workers,Miscellaneous Personal Appearance Workers,Skincare Specialists
39-6011.00,2.0,2.5,2.25,2.5,2.5,0.0,0.0,0.0,2.25,2.25,2.0,0.88,1.0,1.75,1.5,2.38,1.75,1.88,1.88,0.12,1.75,0.5,1.38,2.5,0.0,0.0,3.25,2.38,2.38,1.5,1.62,0.12,2.12,1.5,1.88,Personal Care and Service Occupations,"Baggage Porters, Bellhops, and Concierges","Baggage Porters, Bellhops, and Concierges",Baggage Porters and Bellhops
39-6012.00,2.75,3.75,2.75,2.88,3.62,0.0,0.0,0.0,2.12,2.62,2.38,1.0,1.62,2.25,2.0,2.88,2.62,1.0,0.88,0.5,2.75,0.5,0.62,3.38,0.0,0.0,4.0,3.0,3.12,2.0,2.0,0.62,2.62,0.0,2.5,Personal Care and Service Occupations,"Baggage Porters, Bellhops, and Concierges","Baggage Porters, Bellhops, and Concierges",Concierges
39-7011.00,2.25,3.12,2.12,2.75,3.25,0.0,0.12,0.0,2.38,2.12,2.62,0.0,0.5,1.38,1.12,2.75,1.62,0.62,0.62,0.88,2.12,0.38,0.38,3.0,0.0,0.0,3.25,2.88,3.12,1.5,1.12,0.62,2.0,0.0,2.12,Personal Care and Service Occupations,Tour and Travel Guides,Tour and Travel Guides,Tour Guides and Escorts
39-7012.00,2.88,4.0,3.12,3.5,3.5,0.0,0.88,0.0,3.12,3.38,3.12,2.38,2.38,2.62,2.5,3.25,3.25,2.25,2.38,1.62,3.38,0.88,1.0,3.5,0.0,0.5,3.5,3.38,3.25,2.75,2.5,1.12,3.0,0.0,3.12,Personal Care and Service Occupations,Tour and Travel Guides,Tour and Travel Guides,Travel Guides
39-9011.00,3.12,3.25,2.75,3.12,3.38,0.0,0.0,0.0,3.0,3.12,3.12,0.0,0.62,2.38,2.0,3.38,2.88,1.75,0.0,0.0,2.88,0.0,1.75,3.0,0.0,0.25,3.12,3.5,3.25,2.25,2.25,1.25,3.12,1.25,3.0,Personal Care and Service Occupations,Other Personal Care and Service Workers,Childcare Workers,Childcare Workers
39-9011.01,2.62,3.25,3.38,3.25,3.25,0.0,0.5,0.0,2.88,3.12,3.5,1.38,1.38,1.88,1.12,3.75,3.0,1.62,1.88,1.88,3.5,0.0,1.75,3.12,0.0,1.38,3.62,3.62,3.25,2.38,2.88,0.62,3.0,0.62,2.75,Personal Care and Service Occupations,Other Personal Care and Service Workers,Childcare Workers,Childcare Workers
39-9021.00,2.75,2.88,2.38,2.88,3.0,0.0,0.0,0.0,2.38,2.5,2.62,0.38,0.62,1.75,1.62,3.12,2.0,1.62,1.38,0.0,2.38,0.0,1.75,2.75,0.0,0.75,3.75,3.12,2.88,1.38,1.5,0.38,2.62,0.88,2.75,Personal Care and Service Occupations,Other Personal Care and Service Workers,Personal Care Aides,Personal Care Aides
39-9031.00,2.88,3.25,2.75,3.0,3.0,1.25,1.12,0.0,3.62,2.88,3.5,0.12,0.88,2.62,0.62,3.5,1.75,1.62,1.0,2.62,3.0,0.0,1.62,3.0,0.12,1.0,3.38,3.38,3.38,2.38,2.62,1.25,2.88,1.75,2.75,Personal Care and Service Occupations,Other Personal Care and Service Workers,Recreation and Fitness Workers,Fitness Trainers and Aerobics Instructors
39-9032.00,3.12,3.75,2.88,3.62,3.62,0.0,0.5,0.0,3.38,3.25,3.25,1.75,2.5,3.5,1.88,3.38,2.88,1.88,1.38,2.12,2.88,0.38,1.5,3.38,0.0,1.0,3.5,3.62,3.5,2.88,2.75,0.88,3.38,1.38,3.25,Personal Care and Service Occupations,Other Personal Care and Service Workers,Recreation and Fitness Workers,Recreation Workers
39-9041.00,3.0,4.0,3.0,3.38,4.0,0.0,0.0,0.0,3.0,3.12,3.12,2.0,2.0,3.0,2.0,3.5,3.12,2.0,1.25,2.0,3.25,0.12,1.12,3.38,0.0,1.0,3.12,3.38,3.62,3.0,2.88,1.0,3.25,1.0,3.0,Personal Care and Service Occupations,Other Personal Care and Service Workers,Residential Advisors,Residential Advisors
41-1011.00,3.5,3.38,3.5,3.5,3.75,0.0,0.0,0.0,3.62,3.12,3.5,3.25,2.62,3.62,3.12,4.0,3.62,2.0,1.62,2.25,3.75,0.88,2.62,3.75,0.0,0.25,3.5,3.75,3.75,3.0,3.25,0.88,3.62,1.25,3.5,Sales and Related Occupations,Supervisors of Sales Workers,First-Line Supervisors of Sales Workers,First-Line Supervisors of Retail Sales Workers
41-1012.00,3.62,4.0,3.75,3.75,3.88,0.0,0.0,0.0,4.0,3.75,3.62,3.38,3.12,4.0,3.12,4.25,3.75,1.0,0.5,2.62,3.88,0.5,1.75,4.0,0.0,0.12,3.38,4.0,4.0,3.25,3.62,0.62,3.75,0.0,3.88,Sales and Related Occupations,Supervisors of Sales Workers,First-Line Supervisors of Sales Workers,First-Line Supervisors of Non-Retail Sales Workers
41-2011.00,2.12,2.88,2.0,2.62,2.88,0.0,0.0,0.0,2.25,2.38,1.88,0.25,0.25,2.0,2.38,2.5,2.0,1.5,1.5,0.0,2.12,0.38,0.0,2.75,0.0,0.0,2.75,2.62,2.62,2.0,1.88,0.0,2.5,0.0,2.5,Sales and Related Occupations,Retail Sales Workers,Cashiers,Cashiers
41-2012.00,2.0,3.12,2.25,2.5,2.75,0.38,0.25,0.0,2.12,2.25,1.75,1.38,1.25,1.75,2.5,2.62,2.12,1.88,1.62,0.0,2.38,0.38,2.12,2.62,1.12,0.0,2.62,2.25,2.62,1.38,1.12,0.12,1.38,1.62,2.5,Sales and Related Occupations,Retail Sales Workers,Cashiers,Gaming Change Persons and Booth Cashiers
41-2021.00,2.25,3.25,2.38,2.88,2.88,0.0,0.25,0.0,2.62,2.25,2.5,1.75,1.75,2.25,2.12,2.88,2.62,2.25,2.25,0.0,2.75,0.38,0.25,3.12,0.0,0.0,3.38,2.75,3.0,2.0,1.88,0.75,2.25,0.0,3.12,Sales and Related Occupations,Retail Sales Workers,Counter and Rental Clerks and Parts Salespersons,Counter and Rental Clerks
41-2022.00,3.0,3.75,2.5,2.62,3.38,0.75,1.75,0.25,2.38,2.75,2.38,0.0,0.75,1.25,2.5,2.62,2.88,1.75,0.5,0.62,3.0,0.62,1.62,3.25,1.88,0.0,3.12,2.62,3.38,2.0,1.62,0.88,2.25,1.62,2.62,Sales and Related Occupations,Retail Sales Workers,Counter and Rental Clerks and Parts Salespersons,Parts Salespersons
41-2031.00,2.62,3.62,2.62,3.0,3.38,0.0,0.25,0.0,2.88,2.88,2.38,1.12,1.0,2.38,1.88,3.12,3.5,1.38,1.38,1.12,3.75,0.25,1.25,3.25,0.0,0.12,3.75,3.0,3.25,1.5,2.0,1.25,2.88,0.75,3.0,Sales and Related Occupations,Retail Sales Workers,Retail Salespersons,Retail Salespersons
41-3011.00,3.5,3.88,3.12,3.38,3.88,0.0,0.25,0.0,2.5,3.12,2.62,1.88,1.5,2.25,3.0,3.62,3.88,2.25,1.88,2.12,4.38,1.12,1.0,3.75,0.0,0.38,3.88,3.62,4.12,3.0,3.0,1.25,3.25,0.0,3.38,Sales and Related Occupations,"Sales Representatives, Services",Advertising Sales Agents,Advertising Sales Agents
41-3021.00,3.5,4.0,3.0,3.0,3.5,0.0,0.0,0.0,3.12,3.25,2.5,0.38,0.25,2.5,2.62,3.38,3.5,1.75,1.62,2.0,3.62,0.75,0.25,3.75,0.0,0.38,3.62,3.38,3.88,3.0,2.88,0.5,3.12,0.0,3.5,Sales and Related Occupations,"Sales Representatives, Services",Insurance Sales Agents,Insurance Sales Agents
41-3031.01,4.12,4.5,3.62,3.25,4.38,0.0,0.0,0.0,3.38,4.25,2.88,2.5,1.25,3.0,3.38,3.88,3.62,0.0,0.0,2.5,4.38,1.38,0.25,4.75,0.0,0.75,3.88,3.88,4.12,4.25,3.88,0.62,3.62,0.0,4.12,Sales and Related Occupations,"Sales Representatives, Services","Securities, Commodities, and Financial Services Sales Agents","Securities, Commodities, and Financial Services Sales Agents"
41-3031.02,3.62,4.0,3.12,3.0,4.0,0.0,0.0,0.0,3.0,3.5,2.88,2.12,1.12,2.38,3.25,3.12,3.0,0.75,0.0,2.25,4.25,0.75,0.5,4.0,0.0,0.25,3.38,3.5,4.0,3.0,3.12,0.5,3.0,0.0,3.75,Sales and Related Occupations,"Sales Representatives, Services","Securities, Commodities, and Financial Services Sales Agents","Securities, Commodities, and Financial Services Sales Agents"
41-3041.00,3.0,3.75,2.75,2.62,3.75,0.0,0.12,0.0,2.62,2.88,2.25,1.88,1.0,1.88,2.38,3.0,3.25,0.75,0.5,1.75,3.38,0.62,0.0,3.38,0.0,0.25,4.25,3.25,2.88,2.25,2.38,0.75,3.0,0.0,3.12,Sales and Related Occupations,"Sales Representatives, Services",Travel Agents,Travel Agents
41-3099.01,3.5,3.88,3.12,3.38,4.12,0.0,0.0,0.0,2.75,3.75,2.75,2.75,2.38,2.5,4.12,3.5,3.75,0.75,0.0,0.88,3.5,1.38,0.88,4.0,0.0,0.62,2.75,3.12,4.12,3.25,3.38,0.5,2.62,0.0,3.88,Sales and Related Occupations,"Sales Representatives, Services","Miscellaneous Sales Representatives, Services","Sales Representatives, Services, All Other"
41-4011.00,3.75,4.12,3.12,3.38,3.75,0.0,0.62,0.0,3.12,3.38,3.0,2.62,2.5,2.5,2.88,3.12,4.0,1.62,1.25,2.5,4.0,1.0,1.12,4.12,0.0,0.62,3.38,3.75,4.0,3.0,2.62,1.62,3.0,0.0,3.62,Sales and Related Occupations,"Sales Representatives, Wholesale and Manufacturing","Sales Representatives, Wholesale and Manufacturing","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
41-4011.07,3.38,3.75,3.12,3.38,3.75,0.0,0.62,0.12,3.12,3.12,2.5,2.0,1.5,2.0,3.25,3.38,3.5,1.25,1.5,1.88,3.75,0.75,2.0,3.88,0.0,0.88,3.62,3.38,3.88,2.88,3.0,1.5,2.75,1.12,3.38,Sales and Related Occupations,"Sales Representatives, Wholesale and Manufacturing","Sales Representatives, Wholesale and Manufacturing","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
41-4012.00,3.12,3.88,3.0,3.0,4.0,0.0,0.0,0.0,2.75,3.12,2.38,1.0,0.88,2.12,2.12,3.12,3.88,1.0,1.12,1.88,3.88,0.5,0.38,3.75,0.0,0.25,3.38,3.38,4.0,2.25,2.5,0.75,2.62,0.0,3.12,Sales and Related Occupations,"Sales Representatives, Wholesale and Manufacturing","Sales Representatives, Wholesale and Manufacturing","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
41-9011.00,3.0,3.62,2.38,3.25,3.38,0.0,0.25,0.0,2.62,2.5,2.88,0.12,0.38,1.75,1.88,3.25,2.62,1.88,0.38,2.5,3.75,0.75,2.0,3.38,0.0,0.25,3.0,3.12,3.62,2.0,1.62,0.88,2.5,1.75,3.12,Sales and Related Occupations,Other Sales and Related Workers,"Models, Demonstrators, and Product Promoters",Demonstrators and Product Promoters
41-9012.00,1.75,2.5,1.88,2.0,2.0,0.0,0.12,0.0,0.25,2.0,0.12,0.12,0.25,1.0,0.38,2.0,1.88,0.0,0.0,0.88,1.88,0.0,0.38,2.25,0.0,0.0,1.88,2.5,2.12,1.25,0.25,0.88,2.38,0.0,2.0,Sales and Related Occupations,Other Sales and Related Workers,"Models, Demonstrators, and Product Promoters",Models
41-9021.00,3.75,4.0,2.62,3.0,3.88,0.0,0.0,0.0,1.38,4.0,1.12,1.88,0.5,2.62,2.75,3.5,3.88,1.0,1.25,2.0,4.0,0.12,2.25,4.12,0.0,0.25,3.38,3.12,4.0,2.0,1.88,0.12,3.0,0.12,3.75,Sales and Related Occupations,Other Sales and Related Workers,Real Estate Brokers and Sales Agents,Real Estate Brokers
41-9022.00,3.38,3.88,3.12,3.62,3.88,0.0,0.0,0.0,2.88,3.75,2.62,1.62,1.38,2.5,3.0,2.88,4.0,1.62,1.5,2.12,4.12,0.75,2.25,4.0,0.0,0.38,3.62,3.5,3.88,2.62,3.25,0.5,3.12,1.25,3.5,Sales and Related Occupations,Other Sales and Related Workers,Real Estate Brokers and Sales Agents,Real Estate Sales Agents
41-9031.00,3.88,4.25,3.75,3.62,4.0,0.0,0.75,0.0,3.38,4.0,3.5,2.12,2.62,3.0,3.75,3.62,4.0,2.0,1.75,2.75,4.25,1.88,2.5,4.75,0.0,2.25,3.88,4.0,4.12,3.75,3.75,3.0,3.25,2.38,4.0,Sales and Related Occupations,Other Sales and Related Workers,Sales Engineers,Sales Engineers
41-9041.00,1.5,3.62,2.25,2.62,3.38,0.0,0.0,0.0,1.0,2.12,0.5,0.0,0.0,0.62,0.62,2.38,2.62,0.0,0.0,1.38,3.5,0.25,0.25,3.25,0.0,0.12,3.25,2.75,3.62,0.38,0.62,0.12,1.88,0.0,2.62,Sales and Related Occupations,Other Sales and Related Workers,Telemarketers,Telemarketers
41-9091.00,2.5,3.38,2.62,3.0,3.25,0.0,0.0,0.0,2.25,3.12,2.38,1.5,1.75,1.62,0.25,2.75,3.5,0.0,0.0,1.62,4.12,0.62,0.25,2.88,0.0,0.0,3.25,3.25,3.38,1.62,1.88,0.88,3.0,0.0,2.88,Sales and Related Occupations,Other Sales and Related Workers,Miscellaneous Sales and Related Workers,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
43-1011.00,3.5,3.88,3.25,3.88,3.75,0.0,0.0,0.0,3.62,3.25,3.75,2.62,2.5,3.62,2.88,4.38,3.62,1.62,0.12,2.62,3.62,1.0,2.62,4.0,0.0,0.62,3.5,3.88,4.0,3.12,3.25,0.62,3.88,1.12,3.88,Office and Administrative Support Occupations,Supervisors of Office and Administrative Support Workers,First-Line Supervisors of Office and Administrative Support Workers,First-Line Supervisors of Office and Administrative Support Workers
43-2011.00,2.25,3.0,2.25,2.5,2.75,0.0,0.0,0.0,1.88,2.12,2.0,0.25,0.12,1.5,1.38,2.38,1.88,1.5,0.5,0.5,1.88,0.5,1.25,3.0,0.0,0.0,2.62,2.88,2.75,1.75,1.0,0.0,2.12,0.62,2.38,Office and Administrative Support Occupations,Communications Equipment Operators,"Switchboard Operators, Including Answering Service","Switchboard Operators, Including Answering Service"
43-2021.00,2.0,3.5,2.62,2.25,3.25,0.0,0.0,0.0,1.62,1.88,1.88,0.62,0.5,1.5,1.38,2.38,1.88,1.12,0.25,0.75,2.0,0.62,0.12,2.75,0.0,0.0,3.38,2.88,3.38,1.5,1.25,0.5,2.0,0.0,2.5,Office and Administrative Support Occupations,Communications Equipment Operators,Telephone Operators,Telephone Operators
43-3011.00,2.75,3.88,3.0,3.12,3.62,0.0,0.0,0.0,2.25,3.0,2.25,0.38,0.0,2.0,2.75,3.12,3.38,1.25,0.0,0.38,3.62,0.5,0.0,3.5,0.0,0.12,2.88,3.38,3.88,2.25,1.75,0.38,2.75,0.0,3.38,Office and Administrative Support Occupations,Financial Clerks,Bill and Account Collectors,Bill and Account Collectors
43-3021.01,2.38,3.12,2.25,2.25,3.12,0.25,0.0,0.0,2.0,2.25,2.0,0.12,0.0,1.62,2.25,2.38,2.0,1.25,0.75,0.0,2.0,1.12,0.38,3.12,0.5,0.0,2.5,2.25,3.0,1.88,1.75,0.38,3.0,0.5,2.88,Office and Administrative Support Occupations,Financial Clerks,Billing and Posting Clerks,Billing and Posting Clerks
43-3021.02,2.88,3.62,2.88,2.88,3.12,0.0,0.0,0.0,2.0,2.88,2.0,0.12,0.0,2.12,2.88,2.75,2.25,0.38,0.0,0.12,2.25,1.25,1.75,3.38,0.0,0.0,2.88,2.88,3.12,1.88,1.38,0.0,3.0,0.0,3.0,Office and Administrative Support Occupations,Financial Clerks,Billing and Posting Clerks,Billing and Posting Clerks
43-3031.00,3.0,3.88,2.88,2.62,3.5,0.0,0.25,0.0,2.38,2.88,2.5,2.12,1.12,2.5,3.25,3.12,2.5,1.25,0.0,0.88,2.5,0.5,0.25,3.75,0.0,0.12,2.62,2.88,3.38,2.25,1.75,0.38,3.12,0.0,3.25,Office and Administrative Support Occupations,Financial Clerks,"Bookkeeping, Accounting, and Auditing Clerks","Bookkeeping, Accounting, and Auditing Clerks"
43-3041.00,2.25,3.25,2.0,2.88,3.25,0.0,0.0,0.0,2.75,2.38,2.12,0.38,0.12,1.88,2.88,3.0,2.75,0.88,0.62,0.12,2.0,0.25,1.75,3.0,0.0,0.0,3.0,2.75,3.12,1.12,1.0,0.0,2.5,0.0,3.0,Office and Administrative Support Occupations,Financial Clerks,Gaming Cage Workers,Gaming Cage Workers
43-3051.00,3.0,3.38,2.62,2.88,3.38,0.0,0.0,0.0,2.62,3.0,2.38,0.5,0.38,2.62,3.0,3.25,2.38,0.75,0.0,0.25,2.5,0.62,0.0,3.75,0.0,0.12,2.75,2.75,3.25,2.38,1.62,0.0,3.0,0.0,3.25,Office and Administrative Support Occupations,Financial Clerks,Payroll and Timekeeping Clerks,Payroll and Timekeeping Clerks
43-3061.00,3.75,3.88,3.12,3.12,3.88,0.0,0.0,0.0,2.25,3.38,1.62,2.38,2.0,2.12,2.12,3.5,3.88,0.12,0.0,1.38,2.38,0.12,0.88,4.0,0.0,0.12,3.25,3.12,3.5,1.62,2.0,0.12,2.88,0.25,3.12,Office and Administrative Support Occupations,Financial Clerks,Procurement Clerks,Procurement Clerks
43-3071.00,2.75,3.5,2.75,2.5,3.38,0.0,0.0,0.0,2.88,2.88,2.5,0.25,0.25,2.0,2.88,2.75,2.12,1.88,1.25,0.25,2.0,0.38,0.75,3.25,0.0,0.12,3.38,2.62,3.12,1.88,1.75,0.0,2.5,0.0,3.12,Office and Administrative Support Occupations,Financial Clerks,Tellers,Tellers
43-4011.00,3.0,3.88,2.88,2.88,3.62,0.0,0.0,0.0,2.0,2.88,2.75,1.25,1.0,2.12,3.5,3.0,2.5,1.12,0.25,0.75,2.12,1.75,0.12,3.75,0.0,0.0,3.12,3.0,3.62,2.12,2.25,0.0,3.12,0.0,3.5,Office and Administrative Support Occupations,Information and Record Clerks,Brokerage Clerks,Brokerage Clerks
43-4021.00,2.75,3.62,2.75,2.88,3.62,0.0,0.5,0.25,1.88,3.25,2.12,0.75,0.0,2.5,2.25,2.62,2.75,0.0,0.12,0.62,2.88,0.75,0.75,3.88,0.0,0.38,3.0,3.12,3.25,2.12,2.12,0.5,3.38,0.0,4.0,Office and Administrative Support Occupations,Information and Record Clerks,Correspondence Clerks,Correspondence Clerks
43-4031.01,2.88,3.88,3.0,3.12,3.62,0.0,0.0,0.0,2.12,2.88,1.88,0.0,0.62,2.0,1.38,3.12,2.75,1.25,0.38,0.25,2.25,0.25,0.75,4.0,0.0,0.0,3.0,2.88,3.88,1.75,1.75,0.0,3.38,0.0,3.62,Office and Administrative Support Occupations,Information and Record Clerks,"Court, Municipal, and License Clerks","Court, Municipal, and License Clerks"
43-4031.02,3.12,4.0,2.75,3.0,3.62,0.0,0.12,0.0,2.25,2.88,1.5,2.88,1.12,2.12,2.5,3.0,2.25,0.5,0.5,0.5,2.12,0.38,1.12,4.0,0.0,0.12,3.0,2.88,4.0,2.25,1.88,0.62,2.88,0.0,4.0,Office and Administrative Support Occupations,Information and Record Clerks,"Court, Municipal, and License Clerks","Court, Municipal, and License Clerks"
43-4031.03,3.0,3.12,2.38,2.75,3.12,0.0,0.0,0.0,2.75,2.88,2.25,1.12,1.25,2.12,2.25,3.0,2.12,2.0,1.88,1.88,2.12,0.25,1.62,3.12,0.25,2.0,3.12,3.0,3.0,1.75,1.12,0.25,2.38,1.25,2.88,Office and Administrative Support Occupations,Information and Record Clerks,"Court, Municipal, and License Clerks","Court, Municipal, and License Clerks"
43-4041.01,3.0,3.75,3.25,3.12,3.5,0.0,0.0,0.0,2.88,3.25,2.62,1.38,0.88,2.75,2.25,3.0,2.62,0.0,0.0,0.0,2.5,0.5,0.0,3.88,0.0,0.0,2.88,2.88,3.5,2.25,2.25,0.0,3.0,0.0,3.38,Office and Administrative Support Occupations,Information and Record Clerks,"Credit Authorizers, Checkers, and Clerks","Credit Authorizers, Checkers, and Clerks"
43-4041.02,3.0,3.88,2.88,2.88,3.5,0.0,0.0,0.0,2.88,3.25,1.88,0.0,0.0,1.88,1.25,3.0,2.5,0.12,0.0,0.0,2.62,0.25,0.0,3.38,0.0,0.25,2.75,3.0,3.62,1.88,2.0,0.0,2.75,0.0,3.5,Office and Administrative Support Occupations,Information and Record Clerks,"Credit Authorizers, Checkers, and Clerks","Credit Authorizers, Checkers, and Clerks"
43-4051.00,2.88,3.75,3.0,3.0,3.25,0.0,0.0,0.0,2.75,2.88,2.88,0.12,0.12,2.0,2.12,3.0,2.88,1.25,0.0,0.75,3.0,0.62,0.5,3.38,0.0,0.0,3.5,3.0,3.75,2.12,2.0,0.5,2.75,0.0,3.0,Office and Administrative Support Occupations,Information and Record Clerks,Customer Service Representatives,Customer Service Representatives
43-4051.03,3.5,3.88,3.0,3.25,4.0,0.0,0.0,0.0,3.5,3.25,3.12,1.62,1.75,2.88,2.25,3.38,3.38,1.62,0.0,0.38,3.62,0.75,0.38,3.88,0.0,1.25,4.12,3.88,3.75,3.0,3.25,1.0,3.25,0.0,3.62,Office and Administrative Support Occupations,Information and Record Clerks,Customer Service Representatives,Customer Service Representatives
43-4061.00,3.0,4.12,3.12,3.0,3.75,0.0,0.0,0.0,2.5,3.25,2.25,0.75,0.5,2.62,1.75,3.0,3.0,0.25,0.0,0.62,3.0,0.38,0.25,4.0,0.0,0.75,3.75,3.5,4.12,2.5,2.25,0.0,3.0,0.0,3.5,Office and Administrative Support Occupations,Information and Record Clerks,"Eligibility Interviewers, Government Programs","Eligibility Interviewers, Government Programs"
43-4071.00,2.25,3.0,2.25,2.25,3.0,0.0,0.12,0.0,2.12,2.25,2.12,0.5,1.25,1.75,2.12,2.25,2.12,0.75,1.25,1.12,2.12,0.62,1.25,3.0,0.0,0.0,2.38,2.25,3.0,2.12,1.88,0.62,2.75,0.25,3.0,Office and Administrative Support Occupations,Information and Record Clerks,File Clerks,File Clerks
43-4081.00,2.38,3.38,2.5,3.0,3.5,0.0,0.0,0.0,2.88,2.62,2.62,0.62,0.38,2.75,2.25,2.88,2.5,1.38,0.38,0.38,2.88,1.0,0.75,3.62,0.0,0.0,3.5,3.0,2.75,2.38,2.5,0.88,2.88,0.0,2.88,Office and Administrative Support Occupations,Information and Record Clerks,"Hotel, Motel, and Resort Desk Clerks","Hotel, Motel, and Resort Desk Clerks"
43-4111.00,2.75,4.0,2.88,2.88,3.25,0.0,0.0,0.0,2.75,2.62,2.75,0.12,0.12,2.5,1.88,3.0,2.75,1.25,0.12,1.5,2.75,1.0,0.75,3.5,0.25,0.0,2.88,3.12,3.75,2.12,1.75,0.0,3.0,0.25,3.12,Office and Administrative Support Occupations,Information and Record Clerks,"Interviewers, Except Eligibility and Loan","Interviewers, Except Eligibility and Loan"
43-4121.00,2.38,3.25,2.12,3.0,3.12,0.88,0.25,0.0,2.75,2.38,2.38,1.25,1.75,2.25,2.38,2.75,1.62,0.88,0.38,0.38,1.88,0.75,1.38,3.5,0.0,0.12,3.38,2.75,3.12,1.88,1.5,1.0,2.5,0.62,2.88,Office and Administrative Support Occupations,Information and Record Clerks,"Library Assistants, Clerical","Library Assistants, Clerical"
43-4131.00,3.62,3.88,3.12,2.88,3.75,0.0,0.5,0.0,3.12,3.75,3.0,0.75,0.0,2.5,3.25,3.0,3.0,1.62,0.38,2.0,3.0,1.12,0.5,4.12,0.0,0.38,3.25,3.38,3.88,2.62,2.75,0.75,3.12,0.0,3.75,Office and Administrative Support Occupations,Information and Record Clerks,Loan Interviewers and Clerks,Loan Interviewers and Clerks
